step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
434,,0.588,3.995,0.008,0.448
435,,0.551,3.998,0.007,0.412
436,,0.524,3.97,0.007,0.378
437,,0.556,3.982,0.004,0.42
438,,0.586,3.982,0.004,0.445
439,,0.533,3.975,0.008,0.399
440,,0.545,3.963,0.007,0.4
441,,0.532,3.994,0.008,0.391
442,,0.523,3.986,0.005,0.383
443,,0.57,3.979,0.004,0.429
444,,0.608,3.987,0.006,0.459
445,,0.522,3.948,0.006,0.384
446,,0.545,3.963,0.004,0.42
447,,0.577,3.941,0.003,0.437
448,,0.583,3.979,0.003,0.451
449,,0.537,3.983,0.004,0.406
450,0.342,0.571,3.989,0.002,0.438
451,,0.538,3.998,0.003,0.402
452,,0.57,3.992,0.002,0.432
453,,0.56,3.99,0.002,0.413
454,,0.532,3.987,0.004,0.398
455,,0.611,3.983,0.003,0.464
456,,0.579,3.987,0.004,0.444
457,,0.507,3.991,0.004,0.37
458,,0.602,3.968,0.004,0.456
459,,0.555,3.984,0.003,0.421
460,,0.629,3.999,0.003,0.482
461,,0.493,3.996,0.004,0.369
462,,0.613,3.994,0.004,0.476
463,,0.541,3.979,0.004,0.409
464,,0.581,3.966,0.003,0.443
465,,0.567,3.977,0.005,0.437
466,,0.558,3.989,0.004,0.421
467,,0.55,3.981,0.003,0.42
468,,0.569,3.983,0.002,0.436
469,,0.55,3.968,0.003,0.42
470,,0.578,3.983,0.005,0.439
471,,0.561,3.988,0.004,0.426
472,,0.556,3.976,0.004,0.426
473,,0.555,3.981,0.005,0.411
474,,0.535,3.985,0.006,0.404
475,0.344,0.583,3.978,0.007,0.452
476,,0.572,3.914,0.01,0.426
477,,0.574,3.951,0.007,0.433
478,,0.577,3.897,0.006,0.436
479,,0.535,3.912,0.01,0.406
480,,0.545,3.946,0.005,0.416
481,,0.537,3.949,0.006,0.398
482,,0.634,3.931,0.007,0.487
483,,0.565,3.938,0.01,0.43
484,,0.543,3.962,0.006,0.4
485,,0.539,3.994,0.008,0.409
486,,0.554,3.996,0.007,0.426
487,,0.544,3.982,0.009,0.407
488,,0.599,3.959,0.007,0.455
489,,0.549,3.93,0.008,0.404
490,,0.59,3.966,0.007,0.449
491,,0.55,3.97,0.008,0.42
492,,0.583,3.986,0.009,0.444
493,,0.581,3.981,0.008,0.445
494,,0.598,3.992,0.011,0.456
495,,0.603,3.985,0.009,0.455
496,,0.591,3.955,0.009,0.457
497,,0.55,3.955,0.009,0.414
498,,0.558,3.905,0.008,0.423
499,,0.556,3.98,0.006,0.42
500,0.34,0.493,3.996,0.007,0.363
