step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
364,,0.445,3.229,0.098,0.445
365,,0.411,3.123,0.088,0.411
366,,0.387,3.134,0.086,0.388
367,,0.42,3.06,0.077,0.42
368,,0.446,3.188,0.086,0.446
369,,0.455,3.16,0.09,0.455
370,,0.409,3.305,0.078,0.409
371,,0.366,3.106,0.076,0.366
372,,0.437,3.085,0.081,0.437
373,,0.407,3.127,0.084,0.407
374,,0.391,3.185,0.097,0.391
375,0.351,0.405,3.144,0.091,0.405
376,,0.41,3.206,0.088,0.41
377,,0.438,3.334,0.114,0.438
378,,0.409,3.475,0.116,0.409
379,,0.365,3.466,0.112,0.365
380,,0.453,3.43,0.113,0.453
381,,0.438,3.192,0.12,0.438
382,,0.42,3.165,0.098,0.42
383,,0.417,3.191,0.106,0.417
384,,0.416,3.18,0.108,0.416
385,,0.463,3.134,0.116,0.463
386,,0.388,3.238,0.123,0.388
387,,0.424,3.102,0.117,0.424
388,,0.423,3.08,0.122,0.423
389,,0.423,3.058,0.125,0.423
390,,0.471,3.08,0.114,0.471
391,,0.463,3.075,0.112,0.463
392,,0.378,3.248,0.116,0.378
393,,0.412,3.151,0.129,0.412
394,,0.406,3.199,0.142,0.406
395,,0.38,3.252,0.145,0.38
396,,0.4,3.015,0.114,0.4
397,,0.387,3.078,0.117,0.388
398,,0.423,3.206,0.129,0.423
399,,0.398,3.217,0.137,0.398
400,0.355,0.412,3.06,0.121,0.412
401,,0.39,3.238,0.152,0.39
402,,0.423,3.314,0.13,0.423
403,,0.43,3.295,0.152,0.43
404,,0.438,3.163,0.15,0.438
405,,0.488,3.219,0.149,0.488
406,,0.366,3.453,0.154,0.366
407,,0.472,3.327,0.135,0.472
408,,0.415,3.456,0.145,0.415
409,,0.354,3.612,0.167,0.354
410,,0.48,3.326,0.14,0.48
411,,0.473,3.202,0.14,0.473
412,,0.463,3.261,0.15,0.463
413,,0.439,3.19,0.142,0.439
414,,0.432,3.25,0.159,0.432
415,,0.426,3.398,0.159,0.426
416,,0.516,3.239,0.14,0.516
417,,0.427,3.185,0.139,0.427
418,,0.39,3.191,0.139,0.39
419,,0.371,3.352,0.165,0.371
